COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
441.1765	1.6237-0.109i	445.0023+0.04613983i
441.5011	1.4861-0.02079i	445.3412+0.04611611i
441.8262	1.2956+0.05203i	445.6634+0.04641237i
442.1518	1.2334-0.057546i	445.9863+0.04668201i
442.4779	1.5325+0.058438i	446.3272+0.0467475i
442.8044	1.2576-0.29328i	446.6513+0.04696782i
443.1315	1.5344-0.30079i	446.9761+0.04732927i
443.459	1.3878-0.30608i	447.3188+0.04731604i
443.787	1.3051-0.056967i	447.6449+0.04762802i
444.1155	1.4115+0.13756i	447.9716+0.04791308i
444.4444	1.5755-0.31243i	448.2988+0.04817613i
444.7739	1.4782-0.091478i	448.6442+0.04822415i
445.1039	1.4822+0.1755i	448.9728+0.04842704i
445.4343	1.322-0.31054i	449.302+0.04878175i
445.7652	1.6697+0.013261i	449.6319+0.04893502i
446.0967	1.1055-0.44115i	449.9799+0.04904412i
446.4286	1.5741-0.41106i	450.3111+0.04931616i
446.761	1.1943+0.1282i	450.6429+0.04956074i
447.0939	1.191-0.093274i	450.9754+0.04977776i
447.4273	1.1653-0.015325i	451.326+0.04977783i
447.7612	1.2722-0.27243i	451.6598+0.05011386i
448.0956	1.6881-0.18264i	451.9942+0.05024686i
448.4305	1.6989-0.1575i	452.3293+0.05052745i
448.7659	1.4166-0.048962i	452.6651+0.05078025i
449.1018	1.4831-0.44165i	453.0015+0.05100513i
449.4382	1.5222-0.53944i	453.3562+0.05100781i
449.7751	1.4016-0.059731i	453.6939+0.05135196i
450.1125	1.1424-0.29072i	454.0323+0.05149174i
450.4505	1.4216-0.2453i	454.3715+0.05177463i
450.7889	1.2855+0.21339i	454.7112+0.05203447i
451.1278	1.6516+0.065627i	455.0516+0.05226604i
451.4673	1.243+0.063618i	455.3928+0.05246408i
451.8072	1.5397-0.26544i	455.7345+0.052816i
452.1477	1.1561+0.17621i	456.077+0.05295705i
452.4887	1.3727+0.012332i	456.4379+0.05304522i
452.8302	1.1612-0.28438i	456.7817+0.05312795i
453.1722	1.481-0.080546i	457.1262+0.05335962i
453.5147	1.7255-0.23503i	457.4714+0.0537406i
453.8578	1.3732+0.069959i	457.8173+0.05390957i
454.2014	1.8702-0.41943i	458.164+0.0540495i
454.5455	1.449-0.44228i	458.5112+0.05433888i
454.8901	1.6146+0.20581i	458.8522+0.05408224i
455.2352	1.7941-0.34164i	459.1932+0.05428302i
455.5809	1.4458-0.41477i	459.5529+0.0544185i
455.9271	1.8294+0.079222i	459.8953+0.05473338i
456.2738	1.6332-0.40021i	460.2384+0.05501887i
456.621	2.0337-0.16159i	460.6+0.0552422i
456.9688	1.9803-0.32216i	460.9445+0.05546242i
457.3171	1.6143+0.083716i	461.3076+0.05561873i
457.6659	1.4457-0.069579i	461.6534+0.05595868i
458.0153	1.3298-0.27078i	462+0.05626352i
