COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
708	62.86753-97.0971i	709.883+0.04181684i
709	67.70668-90.86695i	710.9001+0.04183905i
710	73.03992-84.88129i	711.8922+0.04227653i
711	78.82373-79.25198i	712.8847+0.04287521i
712	84.97806-74.07063i	713.9035+0.04283897i
713	91.38618-69.38883i	714.8971+0.0432352i
714	97.93892-65.22198i	715.8912+0.04379025i
715	104.5406-61.55119i	716.9118+0.04368308i
716	111.1024-58.33149i	717.907+0.0442869i
717	117.5731-55.51206i	718.9027+0.04478667i
718	123.9167-53.0394i	719.8989+0.04518018i
719	130.1184-50.86493i	720.9219+0.04513661i
720	136.1568-48.94197i	721.9193+0.04556789i
721	142.0346-47.2341i	722.9172+0.04588761i
722	147.754-45.70946i	723.9157+0.04635915i
723	153.3192-44.34155i	724.9147+0.046716i
724	158.7366-43.10816i	725.9143+0.04722307i
725	164.013-41.991i	726.9144+0.04734409i
726	169.6788-40.66459i	727.9323+0.04712348i
727	175.48-39.28914i	728.9371+0.0469887i
728	181.1193-38.03229i	729.9158+0.0474246i
729	186.62-36.88086i	730.9224+0.0473937i
730	191.983-35.8205i	731.9299+0.04727534i
731	197.216-34.8402i	732.9383+0.04706753i
732	202.3182-33.92939i	733.9202+0.04744436i
733	207.3128-33.08261i	734.9305+0.04705652i
734	212.198-32.29175i	735.9417+0.04684975i
735	216.9709-31.54984i	736.9262+0.04723872i
736	221.6546-30.85427i	737.9393+0.0468432i
737	226.2362-30.19815i	738.9256+0.04732932i
738	230.7386-29.58024i	739.9407+0.04673726i
739	235.1477-28.99461i	740.9287+0.04703502i
740	239.4864-28.44079i	741.9459+0.04652005i
741	243.7391-27.9137i	742.9358+0.04690516i
742	247.919-27.41233i	743.9267+0.04719335i
743	252.0394-26.93574i	744.947+0.04664723i
744	256.0832-26.47981i	745.9398+0.04672883i
745	260.0631-26.04404i	746.9336+0.04670627i
746	263.9926-25.62797i	747.9573+0.04611387i
747	267.8528-25.2281i	748.9531+0.04616071i
748	271.6567-24.84426i	749.95+0.0463889i
749	275.4063-24.47556i	750.948+0.04621468i
750	279.1037-24.12079i	751.947+0.04621862i
751	282.7508-23.77915i	752.947+0.04610689i
752	286.3495-23.4497i	753.9482+0.04617207i
753	289.9013-23.1318i	754.9505+0.0461181i
754	293.408-22.82475i	755.9539+0.04594211i
755	296.8836-22.52717i	756.9669+0.04568654i
756	300.3123-22.2379i	757.9564+0.04565407i
757	303.6995-21.95755i	758.9471+0.04609762i
758	307.0592-21.6871i	759.969+0.04528902i
759	310.3677-21.42361i	760.962+0.04547307i
760	313.6384-21.16787i	761.9561+0.0455264i
761	316.8855-20.92048i	762.982+0.04490544i
762	320.0843-20.67908i	763.9786+0.04468185i
763	323.2486-20.44405i	764.9765+0.0449328i
764	326.3794-20.21546i	765.9756+0.04473528i
765	329.4776-19.99274i	766.976+0.04470225i
766	332.544-19.77573i	767.9776+0.04452245i
767	335.5796-19.56404i	768.9806+0.04450453i
768	338.5851-19.35755i	769.9849+0.04433476i
769	341.5613-19.15604i	770.9906+0.04400934i
770	344.509-18.95913i	771.9977+0.04384022i
771	347.4143-18.76565i	772.9745+0.04442622i
772	350.3068-18.57765i	773.9843+0.04393821i
773	353.1728-18.39367i	774.9956+0.0436004i
774	355.998-18.21256i	775.9764+0.04403038i
775	358.8127-18.03626i	776.9906+0.04367571i
776	361.6027-17.86381i	778.0063+0.04282062i
777	364.3532-17.69346i	778.9912+0.04339226i
778	367.0954-17.52764i	780.01+0.0428258i
779	369.7988-17.36397i	780.9978+0.04304902i
780	372.4952-17.20458i	782.0198+0.042109i
781	375.1536-17.04694i	783.0105+0.04229477i
782	377.79-16.89206i	784.0027+0.04262729i
783	380.405-16.74016i	784.9965+0.04244166i
784	383.0155-16.59181i	786.0251+0.04170936i
785	385.5891-16.4451i	787.022+0.0414599i
786	388.2046-16.33589i	788.0135+0.04194619i
787	391.1097-16.3949i	789.0137+0.04221736i
788	393.9878-16.45173i	790.0162+0.04242835i
789	396.8396-16.50642i	791.0209+0.04256281i
790	399.6657-16.55883i	792.028+0.04294578i
791	402.4665-16.60933i	793.0375+0.04287699i
792	405.225-16.6565i	794.015+0.04387517i
793	407.9768-16.70291i	795.0293+0.04355576i
794	410.7051-16.74715i	796.0462+0.04341677i
795	413.3919-16.78808i	797.0307+0.04437319i
796	416.0742-16.8286i	798.0528+0.04351951i
797	418.7157-16.86544i	799.0423+0.04448007i
798	421.3351-16.90056i	800.0342+0.04489752i
799	423.9329-16.9336i	801.0287+0.04545786i
800	426.5094-16.9648i	802.0258+0.04578456i
801	429.0843-16.99569i	803.0616+0.044392i
802	431.6198-17.02313i	804.0642+0.0445082i
803	434.1155-17.04727i	805.0334+0.04584446i
804	436.6111-17.07104i	806.0415+0.04572042i
805	439.0874-17.09314i	807.0526+0.04523987i
806	441.5448-17.11341i	808.0667+0.04474258i
807	443.9632-17.13025i	809.0468+0.04586446i
808	446.3836-17.14718i	810.067+0.04492137i
809	448.7655-17.16029i	811.053+0.04636071i
810	451.1501-17.17511i	812.0794+0.04298015i
811	453.4966-17.18513i	813.0715+0.04387245i
812	455.8257-17.19419i	814.0667+0.04352069i
813	458.138-17.20024i	815.0651+0.04569239i
814	460.4334-17.20547i	816.0668+0.04656307i
815	462.7404-17.21747i	817.0667+0.04461289i
816	465.2461-17.27355i	818.0743+0.04430045i
817	467.731-17.32773i	819.0862+0.04183345i
818	470.1956-17.37794i	820.1028+0.04103535i
819	472.6175-17.42228i	821.0849+0.04405076i
820	475.042-17.46724i	822.1109+0.04258998i
821	477.4238-17.50887i	823.102+0.04095883i
822	479.7858-17.54709i	824.0979+0.04088492i
823	482.1282-17.58201i	825.0988+0.04232885i
824	484.4508-17.61609i	826.1045+0.04119413i
825	486.754-17.647i	827.1155+0.04144222i
826	489.0373-17.67711i	828.1316+0.03892216i
827	491.2766-17.70141i	829.112+0.04029716i
828	493.5201-17.72684i	830.1389+0.03610138i
829	495.719-17.74555i	831.1299+0.03576955i
830	497.8979-17.75929i	832.1264+0.03657733i
831	500.0569-17.76976i	833.1284+0.03423504i
832	502.1968-17.77362i	834.1362+0.03284623i
833	504.3186-17.77004i	835.1502+0.03233566i
834	506.4234-17.761i	836.17+0.02832274i
835	508.487-17.73817i	837.1533+0.03253626i
836	510.536-17.71221i	838.1421+0.02882496i
837	512.5992-17.6787i	839.1813+0.02667858i
838	514.6247-17.63775i	840.183+0.02398194i
839	516.6401-17.59057i	841.1915+0.02166631i
840	518.6193-17.53503i	842.1622+0.02327416i
841	520.6173-17.47837i	843.1843+0.02147226i
842	522.6074-17.42129i	844.2133+0.01518654i
843	524.5631-17.35602i	845.2047+0.01721514i
844	526.5118-17.29234i	846.203+0.01462288i
845	528.4546-17.22864i	847.2086+0.0117857i
846	530.3921-17.16623i	848.2218+0.008554667i
847	532.601-17.10686i	849.2234+0.006999759i
848	534.9954-17.05881i	850.2485+0.001888457i
849	537.3522-17.02143i	851.2414-0.0002571135i
850	539.6994-17.00441i	852.2492-0.004288518i
